上架編碼@_主鍵,分類@_majorTypeKey,清單項目@_showTextItem,分類編碼,公告檔案@_showMapItem,_sys_deleteKey,_sys_userRoleKey,_sys_timeKey,_sys_recordKey
begin,lecture,,,,,,,
A11,lecture,python by W3School,C01,https://www.w3schools.com/python/default.asp,0,0,0,A11
A12,lecture,python by Spider,C01,https://www.programiz.com/python-programming/examples,0,0,0,A12
A13,lecture_iframe,List and Tuple,C01,Anaconda/20230921List_Tuple.pdf,0,0,0,A13
end,lecture,,,,,,,
begin,Technical Terms,,,,,,,
A101,Technical Terms,confusion matrix,A01,https://chat.openai.com/c/208c460d-3163-46d3-8656-191394694d12,0,0,0,A101
A102,Technical Terms,numpy.zeros,A01,https://chat.openai.com/c/208c460d-3163-46d3-8656-191394694d12,0,0,0,A102
end,Technical Terms,,,,,,,
